ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002161.SZ,20210421,5.18,5.28,5.1,5.11,5.22,-0.10999999999999943,-2.1073,186251.61,95950.272
002161.SZ,20210420,5.5,5.5,5.22,,5.41,-0.1900000000000004,-3.512,311070.57,165726.344
002161.SZ,20210419,5.15,5.69,5.14,5.41,5.18,0.23000000000000043,4.4402,516135.01,282311.569
002161.SZ,20210416,5.05,5.25,5.04,5.18,5.05,0.1299999999999999,2.5743,326042.09,167691.652
002161.SZ,20210415,5.3,5.36,5.02,5.05,5.58,-0.5300000000000002,-9.4982,559742.84,287721.541
002161.SZ,20210414,5.73,5.8,5.52,5.58,5.82,-0.2400000000000002,-4.1237,442764.9,249088.397
002161.SZ,20210413,5.71,6.05,5.6,5.82,5.93,-0.10999999999999943,-1.855,484047.06,280735.176
002161.SZ,20210412,5.83,6.15,5.57,5.93,5.87,0.05999999999999961,1.0221,653574.93,385149.895
002161.SZ,20210409,5.93,6.13,5.67,5.87,6.29,-0.41999999999999993,-6.6773,928034.74,549226.834
002161.SZ,20210408,5.8,6.29,5.78,6.29,5.72,0.5700000000000003,9.965,1195213.41,735703.005
002161.SZ,20210407,5.72,5.72,5.2,5.72,5.2,0.5199999999999996,10.0,604939.53,335034.515
002161.SZ,20210406,4.66,5.2,4.63,5.2,4.73,0.46999999999999975,9.9366,318837.26,160342.12
002161.SZ,20210402,4.5,4.88,4.47,4.73,4.5,0.23000000000000043,5.1111,158047.69,74048.132
002161.SZ,20210401,4.51,4.52,4.45,4.5,4.5,0.0,0.0,38372.25,17216.61
002161.SZ,20210331,4.46,4.52,4.46,4.5,4.49,0.009999999999999787,0.2227,33605.51,15115.625
002161.SZ,20210330,4.6,4.62,4.46,4.49,4.62,-0.1299999999999999,-2.8139,73585.29,33151.011
002161.SZ,20210329,4.72,4.72,4.61,4.62,4.72,-0.09999999999999964,-2.1186,63416.36,29561.746
002161.SZ,20210326,4.76,4.78,4.67,4.72,4.76,-0.040000000000000036,-0.8403,60953.35,28682.096
002161.SZ,20210325,4.69,4.79,4.63,4.76,4.71,0.04999999999999982,1.0616,77433.59,36576.924
002161.SZ,20210324,4.61,4.75,4.57,4.71,4.61,0.09999999999999964,2.1692,106867.64,50021.013
002161.SZ,20210323,4.59,4.84,4.58,4.61,4.58,0.03000000000000025,0.655,113266.73,52835.76
002161.SZ,20210322,4.55,4.6,4.52,4.58,4.58,0.0,0.0,53014.06,24210.581
002161.SZ,20210319,4.54,4.6,4.52,4.58,4.59,-0.009999999999999787,-0.2179,36720.22,16761.349
002161.SZ,20210318,4.58,4.64,4.53,4.59,4.62,-0.03000000000000025,-0.6494,52050.55,23811.821
002161.SZ,20210317,4.6,4.7,4.59,4.62,4.61,0.009999999999999787,0.2169,59757.76,27684.878
002161.SZ,20210316,4.49,4.65,4.47,4.61,4.48,0.1299999999999999,2.9018,66824.35,30500.495
002161.SZ,20210315,4.48,4.54,4.44,4.48,4.49,-0.009999999999999787,-0.2227,33861.25,15200.589
